step,AAPL,MSFT,JPM,GS,BA,CAT,MMM,HON,IBM,NVDA,KO,MCD,MRK,MS,NKE,PG,TRV,UNH,V,VZ,WMT,CVX,XOM,AMGN,AXP,CRM,CSCO,DIS,HD,JNJ,CASH
32,0.033853597359434225,0.013585626350807206,0.0528080139331188,0.054817079775447114,0.029524357870865284,0.03443198391660382,0.02233958152104274,0.022795531015666764,0.03635452330647484,0.02340104988723907,0.02150487971696007,0.035713678408592645,0.041637830441364806,0.01760168080103763,0.0487227486805062,0.018342462817409828,0.06640130824419337,0.021430023618131518,0.06503813487056748,0.022380706416095415,0.02400147478300567,0.022693401645301887,0.05088201499123726,0.054380848276656533,0.022359107869586815,0.02831076924320371,0.03958759234908111,0.02006426336634983,0.03504488586573527,0.019990842533481722,1.2480129674150651e-10
33,0.034888163204480474,0.0136834733439879,0.05156068813394453,0.05584199397298001,0.028721296888676556,0.034495097747284036,0.022518881436871266,0.02251144212828507,0.03584204143300681,0.023525971352150375,0.021163780926820565,0.035961180324277926,0.04094641891674466,0.01748995783581517,0.04868708801263747,0.01815528687055019,0.0662566076559672,0.021519180797792,0.06419603358241012,0.02204647319882462,0.024567010869244132,0.023523483647271283,0.05213040587860033,0.05504768602593638,0.022298247795470624,0.028240970299217065,0.039631228766337116,0.02030690497477482,0.03467617965145532,0.019566705198226578,1.1912995941240294e-07
34,0.03428294033791553,0.01330401398733678,0.05150423732824368,0.05970036869054862,0.02832054641908748,0.03548200503788466,0.02225998587859894,0.022739933722578907,0.03447257765806439,0.023871670912592714,0.020976674142020015,0.03618903626990891,0.041192329985814416,0.01764628473384966,0.04841571889475217,0.018007091994554934,0.06608758045417944,0.021393288380646303,0.06358424427575368,0.02239561125537069,0.024489748533477202,0.02321025824877295,0.05341814072705118,0.05387976235452003,0.0219936710270016,0.027911776011231754,0.03965707112664172,0.019864195735474488,0.03415604732807536,0.019593188306434497,2.416172228494968e-10
35,0.03442710699142032,0.013777892970512602,0.051202157106754416,0.05400388928026135,0.028959616032429424,0.03461827032912915,0.022840956959431617,0.022505850791129912,0.03445580391627571,0.02366257084247284,0.021927206703429927,0.035523672570045246,0.04158062398803219,0.01805471020032399,0.04863783402292194,0.018391021943610513,0.06712825076493212,0.022119980621629592,0.06591523651750811,0.022096764534424735,0.02463416735980647,0.024110022156823764,0.049565963346311075,0.055305951875251086,0.02210275858637156,0.028394949587880167,0.03870099648052246,0.020320075801061478,0.03565158600182804,0.01938386854648481,2.431709833873456e-07
36,0.03557220120041241,0.01371528709272282,0.05128176599352798,0.055760286633387175,0.02812457436413798,0.033591498893591136,0.022507621878817195,0.02210183099738467,0.03512283674642089,0.02317673296502803,0.022518848526692954,0.035807337078208094,0.040386537805866755,0.01749027755902091,0.04774657913552201,0.01807967492740914,0.06636545353483743,0.021431480731683245,0.06375992775516187,0.021971617361012816,0.02549272927681279,0.02393844239257639,0.05534153522918395,0.05414252637568109,0.02205147273817834,0.028841495408350355,0.039262223689880055,0.020025839854672843,0.03526491184795854,0.019126451633197934,3.7266221526223257e-10
37,0.036138428848548336,0.013512388963893868,0.05152410884586088,0.05822838187630857,0.02842698443735732,0.03480034958940571,0.022583770632223145,0.022284068437566446,0.035329146163501954,0.023785954776205136,0.021736689515406162,0.0357165868814554,0.040840845649903694,0.017429448933057583,0.04848262211552242,0.01819915987368212,0.06592614935151897,0.02129202380638178,0.06312941926133586,0.02227546156416097,0.024731678042930142,0.02368909203210759,0.052413463888204406,0.053962914712134644,0.02240478625914207,0.02777639843812587,0.03896517901309532,0.019767078765521084,0.0349897729084283,0.019657412617853278,2.3379916081426107e-07
38,0.03438395503763399,0.013612929055900218,0.05167633416349477,0.05603824674148748,0.028088623867255632,0.034799536115485856,0.022406972395416357,0.022432368952460546,0.0348675068295136,0.02354483941887706,0.02184381538523793,0.035979649665833925,0.04109483847381523,0.017702443919965054,0.04841111148889972,0.018353965520533456,0.06699910942363797,0.02171197156487752,0.06531728535335628,0.022585744364786386,0.02450630725313101,0.023632259027969966,0.05154716318239217,0.05477690920937317,0.022014764996927606,0.02823035506061492,0.03898783004719421,0.020064898508730285,0.03509678440939155,0.019291480198335365,3.6747081917653194e-10
39,0.034197422727624216,0.013555123979271722,0.052630782875108646,0.05762468212722752,0.02843202167617699,0.03415781976012521,0.022373036005535734,0.02254803939209349,0.0346745188622276,0.023662967899882748,0.02165413279070978,0.03594337216418441,0.041878533783935135,0.017382086918215578,0.04943037418858687,0.018193969495377053,0.06585359113033847,0.0216959711742155,0.065199114640901,0.022424182449670767,0.024107950835086177,0.023213343412471294,0.05076560194355219,0.054538158224171546,0.022401095466650898,0.028026881576624495,0.03891898259609055,0.020303328407047544,0.03468801594123934,0.019524897425990128,1.2966737546390405e-10
40,0.034777885992288926,0.013648557526041622,0.051839760103936525,0.05575322458302754,0.02849465257422181,0.035565883607956504,0.02245972248204935,0.022677172778342757,0.03448703079551173,0.023245562761271554,0.02152954347633103,0.035441684552636014,0.04074499602908627,0.01747927422128732,0.04812852121103444,0.01837253332554511,0.0669758269994255,0.021703272331473143,0.06430731418013408,0.022000835207354637,0.024886596844456033,0.02348841780088817,0.051752901031301465,0.054849117230136864,0.02209176168596408,0.028483966970370776,0.03878201480559007,0.02010896705620704,0.03564082849332469,0.020281932400474025,2.4094233087456207e-07
41,0.034723724128952645,0.0137491086920732,0.05199739852146823,0.05476179954940094,0.02895156061257742,0.03561043301354435,0.022951167305856807,0.022803913370768494,0.03465181522619107,0.02282987957147451,0.02170171306894849,0.035765280308230944,0.04125035313826546,0.017694983998983872,0.0476235015865983,0.018188943806451297,0.06621755914530228,0.021534652944706276,0.06432863342175199,0.02158655661664281,0.024811085305279094,0.023456328111103993,0.05244719946192687,0.05543952969720749,0.02220644077273574,0.028717834896740284,0.038999506080739016,0.020198584732794272,0.03509905533941838,0.019701340152585175,1.1742128028604774e-07
42,0.033316414854474764,0.013573367784861526,0.05195647828584286,0.0559795811219987,0.028493766948754027,0.03460472903319695,0.022982299116250444,0.022287588855970594,0.036900234063125814,0.023740351651682458,0.022228937847795994,0.035727133145149956,0.04144768526817974,0.017718160835361717,0.04870430447000043,0.018414167000545264,0.06671992588478501,0.021770500662441225,0.06513170883494789,0.02198835113187832,0.02414161372570085,0.023726639580207237,0.04898633939037358,0.05495156309430697,0.02246514094468684,0.028201278457406487,0.039607229393531125,0.02029763794353639,0.03474427692984774,0.019192356594483415,2.3714867574158533e-07
43,0.036242372873401506,0.013658472192851748,0.04928161379797297,0.057520619991618706,0.02775058436722245,0.03581686259613934,0.022593316625754537,0.022119091044114105,0.03350120316828023,0.023038689851685,0.02228517806460597,0.035590332292339925,0.040667911670094335,0.017630936780487955,0.04781770963335579,0.017863764223825327,0.06611516615161141,0.02115053481483567,0.06431595985270255,0.021890129693398815,0.025320315410502458,0.023793932344643356,0.056999111467652935,0.05399788101481403,0.021862750618085354,0.02814584300465927,0.03882428068937366,0.01983684411540706,0.03542067299861882,0.018947680956861758,2.3769308284457172e-07
44,0.034096420609828586,0.01346344630379279,0.05103567604005363,0.05875736506893578,0.02858062719538357,0.034816665168721284,0.022339004213553473,0.02225847842387096,0.03442680310897831,0.023774856766952335,0.021731166843843495,0.03611725169587948,0.041640520606463394,0.0175241893522197,0.04864325078266346,0.01810281363673204,0.06704671449801995,0.02157059690350709,0.06415118117833916,0.022266593178132513,0.02417736963999239,0.02353311913199666,0.05196968037748702,0.05436163007666879,0.021980147346992742,0.02747018591487911,0.038863860581598665,0.02009196640383095,0.035610677967334525,0.019597623363215053,1.1762013324941533e-07
45,0.03532711127544308,0.013598684808572764,0.05133072490052961,0.0573024001041539,0.028144956880121738,0.03574718441278231,0.02261468935573117,0.02205317647023541,0.034950680267019585,0.023193706332644604,0.021895910123385053,0.03552244012067359,0.04063954827080583,0.017521161525048356,0.04784535633270629,0.01786513234111791,0.06569123381769498,0.021388468719298847,0.06416667536857378,0.021904563687763303,0.025047630414782515,0.02408645405423116,0.05496055904212199,0.05423900997537904,0.021937956146669282,0.02820469001590487,0.039291185786219734,0.019414372376778694,0.03505575813179892,0.0190585786948194,2.469921463750943e-10
46,0.03439099995236641,0.013408388067318132,0.051166448152910916,0.0594535575947406,0.02942746211586691,0.03436969599360688,0.022336180776866957,0.022063541755342704,0.03456924682642564,0.02351998760651488,0.021902675737242056,0.035867770034692166,0.04099704944129967,0.01748280177719324,0.048571179622320576,0.017935318145196926,0.0663664395927565,0.02133368123065855,0.06470920255318378,0.02203360248168117,0.024310456638684346,0.023252853630855067,0.05212543164508988,0.05485354691792759,0.022234201782379257,0.028157785876538846,0.03840607387729842,0.019908333560762444,0.035495832981229936,0.01935025350462876,1.2642078355403036e-10
